edition,year,noc,country_name,gold,silver,bronze,total_medals,iso3,gdp_per_capita,population,gni_per_capita,hdi,eurostat_recreation_pct_gdp,wvs_country,wvs_interpersonal_trust,wvs_confidence_govt,wvs_confidence_parties,wvs_national_pride,wvs_sport_org_membership,ess_social_trust,ess_trust_parliament,ess_trust_legal,ess_news_politics
1960 Summer Olympics,1960,URS,Soviet Union,43,29,31,103,RUS,,119897000.0,,0.741,,RUS,1.7609065155807366,2.4773638968481375,2.866230677764566,2.746906636670416,2.433158201984822,3.833264033264033,3.2853992059991177,3.7381801962533454,
1960 Summer Olympics,1960,USA,United States,34,21,16,71,USA,2999.86487154495,180671000.0,,0.875,,USA,1.6026285272516427,2.9236138037999226,3.144690781796966,2.7394502516453736,1.4597432905484247,,,,
1960 Summer Olympics,1960,GER,Germany,12,19,11,42,DEU,1162.12266831735,72814900.0,,0.828,,DEU,1.540485829959514,2.6233153638814017,2.908344733242134,3.1304062909567496,1.4193121693121693,4.612770339855818,4.34869109947644,5.574497574497575,
1960 Summer Olympics,1960,ITA,Italy,13,10,13,36,ITA,836.905850281885,50199700.0,,0.78,,,,,,,,4.543189368770764,4.832034632034632,5.561807331628303,
1960 Summer Olympics,1960,AUS,Australia,8,8,6,22,AUS,1813.43109917039,10276477.0,,0.864,,AUS,1.4598214285714286,2.8173719376391984,3.1181058495821725,2.991662034463591,1.2185761957730812,,,,
1960 Summer Olympics,1960,HUN,Hungary,6,8,7,21,HUN,,9983512.0,,0.721,,,,,,,,4.079355608591886,5.001229256299939,5.106741573033708,
1960 Summer Olympics,1960,POL,Poland,4,6,11,21,POL,,29637450.0,,0.715,,,,,,,,3.715784453981879,3.4819217434373453,3.662202380952381,
1960 Summer Olympics,1960,GBR,Great Britain,2,6,12,20,GBR,1397.5948032844,52400000.0,,0.804,,GBR,1.5329178028827426,3.0423465423465426,3.125098347757671,3.0455246913580245,1.2993827160493827,5.047340165934602,4.642821904292057,5.037893700787402,
1960 Summer Olympics,1960,JPN,Japan,4,7,7,18,JPN,508.702779291773,93216000.0,,0.846,,JPN,1.6440281030444965,2.64119066773934,2.823283082077052,2.5781954887218044,1.5846407927332782,,,,
1960 Summer Olympics,1960,ROU,Romania,3,1,6,10,ROU,,18406905.0,,0.709,,ROU,1.881260096930533,3.164154103852596,3.438902743142145,3.203225806451613,2.371152154793316,3.7937999060591827,3.8159806295399514,3.7754607177497577,
1960 Summer Olympics,1960,TUR,Türkiye,7,2,0,9,TUR,267.091207552765,28329898.0,,0.598,,TUR,1.8573839662447258,2.1363636363636362,2.5038200339558574,2.819409282700422,2.40337224383917,3.006521739130435,6.3789592760181,6.42743312464428,
1960 Summer Olympics,1960,TCH,Czechoslovakia,3,2,3,8,CZE,,9602006.0,,0.748,,CZE,1.6272040302267003,2.8493265993265995,3.0271186440677966,2.7577276524644945,2.0455696202531644,4.254275092936803,3.6559877955758964,3.7780320366132725,
1960 Summer Olympics,1960,BUL,Bulgaria,1,3,3,7,BGR,,7867374.0,,0.698,,,,,,,,3.3435003631082063,2.178358208955224,2.4485981308411215,
1960 Summer Olympics,1960,DEN,Denmark,2,3,1,6,DNK,1389.0213943225,4579603.0,,0.839,,,,,,,,6.992656875834446,6.183535762483131,7.130670277589709,
1960 Summer Olympics,1960,SWE,Sweden,1,2,3,6,SWE,2128.36441205712,7484656.0,,0.808,,,,,,,,6.09442491210447,5.920408163265306,6.064881565396498,
1960 Summer Olympics,1960,SUI,Switzerland,0,3,3,6,CHE,1954.3113206427,5327827.0,,0.85,,,,,,,,5.652920962199313,5.746276322547509,6.14964964964965,
1960 Summer Olympics,1960,FIN,Finland,1,1,3,5,FIN,1191.85508873415,4429634.0,,0.811,,,,,,,,6.45995995995996,5.789180990899899,6.75050505050505,
1960 Summer Olympics,1960,FRA,France,0,2,3,5,FRA,1306.79629911648,47412964.0,,0.79,,,,,,,,4.4672897196261685,4.468474576271187,4.833667334669339,
1960 Summer Olympics,1960,BEL,Belgium,0,2,2,4,BEL,1290.28607216192,9153489.0,,0.814,,,,,,,,4.81121099947118,4.993802816901408,4.38751345532831,
1960 Summer Olympics,1960,IRI,Islamic Republic of Iran,0,1,3,4,IRN,195.57752721271,21470434.0,,0.613,,IRN,1.8516042780748663,2.584956346541303,2.70260989010989,3.1622162883845126,2.3410169491525425,,,,
1960 Summer Olympics,1960,NZL,New Zealand,2,0,1,3,NZL,2334.1337214332,2371800.0,,0.812,,NZL,1.4049751243781095,2.4485219164118246,2.90216271884655,3.22820763956905,1.2267839687194526,,,,
1960 Summer Olympics,1960,NED,Netherlands,0,1,2,3,NLD,1156.38597727767,11486631.0,,0.847,,NLD,1.3879443585780527,2.870741482965932,3.0476431829700963,3.092085614733698,1.5601249349297241,5.708421498095641,5.1921754084264835,5.350794332331473,
