edition,year,noc,country_name,gold,silver,bronze,total_medals,iso3,gdp_per_capita,population,gni_per_capita,hdi,eurostat_recreation_pct_gdp,wvs_country,wvs_interpersonal_trust,wvs_confidence_govt,wvs_confidence_parties,wvs_national_pride,wvs_sport_org_membership,ess_social_trust,ess_trust_parliament,ess_trust_legal,ess_news_politics,host,log_population,log_gdp_per_capita,prev_total_medals,prev_gold,prev2_total_medals,prev3_total_medals,medal_trend,rolling_mean_medals,log_prev_total,gdp_growth_rate,athletes_sent,athletes_sent_prev,athletes_sent_trend,medals_per_athlete,first_year,years_experience,upcoming_host
2008 Summer Olympics,2008,AFG,Afghanistan,0,0,1,1,AFG,381.73323802844,26482622.0,370.0,0.449,,,,,,,,,,,,0,17.09199934001861,5.9473382400541785,,,,,,,,,4.0,,,,2008.0,0.0,0
2012 Summer Olympics,2012,AFG,Afghanistan,0,0,1,1,AFG,651.417134470046,30560034.0,640.0,0.449,,,,,,,,,,,,0,17.235203667549897,6.480684134151277,1.0,0.0,,,,1.0,0.6931471805599453,0.7064721370202349,6.0,4.0,2.0,0.16666666666666666,2008.0,4.0,0
2024 Summer Olympics,2024,ALB,Albania,0,0,2,2,ALB,11377.7757431099,2377128.0,9910.0,0.789,,,,,,,,3.0142021720969088,2.919520547945205,3.510998307952623,,0,14.68140401495811,9.339505122201638,,,,,,,,,8.0,,,,2024.0,0.0,0
2004 Summer Olympics,2004,UAE,United Arab Emirates,1,0,0,1,ARE,33376.7152295209,4428967.0,33220.0,0.79,,,,,,,,,,,,0,15.303677157771986,10.415643747585033,,,,,,,,,4.0,,,,2004.0,0.0,0
2016 Summer Olympics,2016,UAE,United Arab Emirates,0,0,1,1,ARE,42721.0999383185,8935095.0,46180.0,0.86,,,,,,,,,,,,0,16.005497450782077,10.662471628285482,1.0,1.0,,,,1.0,0.6931471805599453,0.2799671760549016,13.0,4.0,9.0,0.07692307692307693,2004.0,12.0,0
1960 Summer Olympics,1960,ARG,Argentina,0,1,1,2,ARG,778.251706763404,20386045.0,,0.724,,ARG,1.7930672268907564,2.93502538071066,3.2577639751552794,2.5734265734265733,2.09853249475891,,,,,0,16.830361205158454,6.658334108909282,,,,,,,,,98.0,,,,1960.0,0.0,0
1964 Summer Olympics,1964,ARG,Argentina,0,1,0,1,ARG,1176.20086190313,21769453.0,1020.0,0.724,,ARG,1.7930672268907564,2.93502538071066,3.2577639751552794,2.5734265734265733,2.09853249475891,,,,,0,16.89601835251036,7.070894748522769,2.0,0.0,,,,2.0,1.0986122886681098,0.5113373368556025,109.0,98.0,11.0,0.01834862385321101,1960.0,4.0,0
1968 Summer Olympics,1968,ARG,Argentina,0,0,2,2,ARG,1141.95211617341,23150583.0,1210.0,0.724,,ARG,1.7930672268907564,2.93502538071066,3.2577639751552794,2.5734265734265733,2.09853249475891,,,,,0,16.957530564960184,7.041369769805643,1.0,0.0,2.0,,-1.0,1.5,0.6931471805599453,-0.029118109703052286,95.0,109.0,-14.0,0.010526315789473684,1960.0,8.0,0
1972 Summer Olympics,1972,ARG,Argentina,0,1,0,1,ARG,1409.37097316211,24644328.0,1470.0,0.724,,ARG,1.7930672268907564,2.93502538071066,3.2577639751552794,2.5734265734265733,2.09853249475891,,,,,0,17.02005737113299,7.2516080503004865,2.0,0.0,1.0,2.0,1.0,1.6666666666666667,1.0986122886681098,0.23417694420042667,97.0,95.0,2.0,0.020618556701030927,1960.0,12.0,0
1988 Summer Olympics,1988,ARG,Argentina,0,1,1,2,ARG,3992.70330179156,31780532.0,3860.0,0.724,,ARG,1.7930672268907564,2.93502538071066,3.2577639751552794,2.5734265734265733,2.09853249475891,,,,,0,17.27436449048664,8.292474225235338,1.0,0.0,2.0,1.0,-1.0,1.3333333333333333,0.6931471805599453,1.0,123.0,97.0,26.0,0.008130081300813009,1960.0,28.0,0
